Protein Group,Protein Ids,Protein Names,Genes,First Protein Description,Peptides,Bock_1,Bock_2,Bock_3,Abk_1,Abk_2,Abk_3
Q9UMX0;Q9UMX0-2,Q9UMX0-2;Q9UMX0,UBQL1-2_HUMAN;UBQL1_HUMAN,UBQLN1,Ubiquilin-1,1,91999.8,,,91619.8,71944.5,109706
P61970,H3BRV9;P61970,NTF2_HUMAN,NUTF2,Nuclear transport factor 2,1,169928,115772,,,,79434.6
Q69YN4;Q69YN4-3,H0YBN5;Q69YN4-2;Q69YN4-3;Q69YN4-4;Q69YN4,VIR-3_HUMAN;VIR_HUMAN,VIRMA,Protein virilizer homolog,7,85553.6,70187.8,140716,37459.7,,31043.1
B7ZW38;O60812;P0DMR1,A0A0G2JPF8;B7ZW38;O60812;P0DMR1,HNRC1_HUMAN;HNRC3_HUMAN;HNRC4_HUMAN,HNRNPCL1;HNRNPCL3;HNRNPCL4,Heterogeneous nuclear ribonucleoprotein C-like 3,1,296795,,68148.3,,,
Q13363;Q13363-2,D6RAX2;H0Y8W7;H0Y9M9;Q13363-2;Q13363,CTBP1-2_HUMAN;CTBP1_HUMAN,CTBP1,C-terminal-binding protein 1,2,70748.5,18808.7,,122919,96188.2,53597.9
P04279,P04279-2;P04279;Q02383,SEMG1_HUMAN,SEMG1,Semenogelin-1,4,,,360807,,,
Q5BJF2,J3KT68;Q5BJF2,SGMR2_HUMAN,TMEM97,Sigma intracellular receptor 2,1,167629,,,73157.4,,117661
Q9NX63,C9JRZ6;F8WAR4;Q9NX63,MIC19_HUMAN,CHCHD3,MICOS complex subunit MIC19,2,88507.3,56322.5,,46773.4,92637.5,71337.1
Q9H0E2,E7EN89;Q9H0E2,TOLIP_HUMAN,TOLLIP,Toll-interacting protein,1,197211,108006,,,,50359.5
P13473;P13473-2;P13473-3,P13473-2;P13473-3;P13473,LAMP2-2_HUMAN;LAMP2-3_HUMAN;LAMP2_HUMAN,LAMP2,Lysosome-associated membrane glycoprotein 2,1,175831,100586,,,,78108.9
Q13813;Q13813-2;Q13813-3,A0A0D9SF54;A0A0D9SFF6;A0A0D9SGF6;A0A1B0GTB7;Q13813-2;Q13813-3;Q13813,SPTN1-2_HUMAN;SPTN1-3_HUMAN;SPTN1_HUMAN,SPTAN1,"Spectrin alpha chain, non-erythrocytic 1",4,50010.3,72463.8,,99011,,132348
Q9HB71;Q9HB71-3,Q9HB71-3;Q9HB71,CYBP-3_HUMAN;CYBP_HUMAN,CACYBP,Calcyclin-binding protein,3,255435,97248.7,,,,
A9Z1X7;M0R088,A9Z1X7;M0R088,A9Z1X7_HUMAN;M0R088_HUMAN,SRRM1,"Isoform of Q8IYB3, Serine/arginine repetitive matrix protein 1",1,121667,74199.7,69191.1,87162.1,,
P78371;P78371-2,F5GWF6;F8VQ14;P78371-2;P78371,TCPB-2_HUMAN;TCPB_HUMAN,CCT2,T-complex protein 1 subunit beta,2,75253.9,72494.2,,100992,52462.6,48454
Q96ND0,K7EK00;K7ERQ2;Q96ND0,F210A_HUMAN,FAM210A,Protein FAM210A,1,104983,64717,,106074,,73553.5
O96000,H3BPJ9;O96000,NDUBA_HUMAN,NDUFB10,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10,1,113730,57511.3,,70646.1,,106224
P24539,Q5QNZ2;P24539,AT5F1_HUMAN,ATP5PB,"ATP synthase F(0) complex subunit B1, mitochondrial",2,71444.4,64317.2,74836.5,65553.2,19272.4,52168.4
A0A024RBG1;Q8NFP7;Q96G61;Q9NZJ9;Q9NZJ9-2;Q9NZJ9-3,A0A0C4DGJ4;F8VRL4;F8VRR0;Q9NZJ9-2;Q9NZJ9-3;A0A024RBG1;Q8NFP7;Q96G61;Q9NZJ9,NUD10_HUMAN;NUD11_HUMAN;NUD4B_HUMAN;NUDT4-2_HUMAN;NUDT4-3_HUMAN;NUDT4_HUMAN,NUDT10;NUDT11;NUDT4;NUDT4B,Diphosphoinositol polyphosphate phosphohydrolase NUDT4B,1,39713.2,71891.8,,85480.8,80517.6,68420.2
Q9BXY0,H0YBV6;Q9BXY0,MAK16_HUMAN,MAK16,Protein MAK16 homolog,2,102954,,,111090,,131660
O95197;O95197-2;O95197-3;O95197-4;O95197-5;O95197-6;O95197-7,B7Z4M1;F5H617;O95197-2;O95197-3;O95197-4;O95197-5;O95197-6;O95197-7;O95197,RTN3-2_HUMAN;RTN3-3_HUMAN;RTN3-4_HUMAN;RTN3-5_HUMAN;RTN3-6_HUMAN;RTN3-7_HUMAN;RTN3_HUMAN,RTN3,Reticulon-3,1,148220,149966,,,,46335.2
O15145,O15145,ARPC3_HUMAN,ARPC3,Actin-related protein 2/3 complex subunit 3,3,90763.7,43322.6,,91382.7,,114338
Q9NW82,D6RIW8;Q9NW82,WDR70_HUMAN,WDR70,WD repeat-containing protein 70,2,118655,115781,,67521.7,,36346.2
Q8WXF0,Q8WXF0,SRS12_HUMAN,SRSF12,Serine/arginine-rich splicing factor 12,1,103566,134661,,62134.9,,37730.9
Q9P2R7;Q9P2R7-2,A0A0U1RQF8;A0A2R8Y5P6;A0A2R8Y6E6;A0A2R8Y6Y7;A0A2R8YDQ9;Q5T9Q5;Q9P2R7-2;Q9P2R7,SUCB1-2_HUMAN;SUCB1_HUMAN,SUCLA2,"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial",3,109215,,,125802,,101964
P04424;P04424-2,P04424-2;P04424-3;P04424,ARLY-2_HUMAN;ARLY_HUMAN,ASL,Argininosuccinate lyase,7,85869.2,70823,,95229.9,,84370.4
Q9UJQ4,Q9UJQ4-2;Q9UJQ4,SALL4_HUMAN,SALL4,Sal-like protein 4,4,102192,80467.3,,94190.8,,57316.3
Q52LG2,Q52LG2,KR132_HUMAN,KRTAP13-2,Keratin-associated protein 13-2,2,,150662,,,,183019
P16435,H0Y4R2;P16435,NCPR_HUMAN,POR,NADPH--cytochrome P450 reductase,2,77536.3,63203.4,116638,35362,,39182.2
P27708,F8VPD4;P27708,PYR1_HUMAN,CAD,CAD protein,4,118768,78461,,133933,,
Q9HAF1;Q9HAF1-2;Q9HAF1-3;Q9HAF1-4,Q9HAF1-2;Q9HAF1-3;Q9HAF1-4;Q9HAF1,EAF6-2_HUMAN;EAF6-3_HUMAN;EAF6-4_HUMAN;EAF6_HUMAN,MEAF6,Chromatin modification-related protein MEAF6,1,,,,122216,131638,76283.9
P15502;P15502-4;P15502-9,F8WAH6;P15502-4;P15502-9;P15502,ELN-4_HUMAN;ELN-9_HUMAN;ELN_HUMAN,ELN,Elastin,1,,,,144163,180258,
Q52LJ0;Q52LJ0-1,Q52LJ0-1;Q52LJ0,FA98B-1_HUMAN;FA98B_HUMAN,FAM98B,Protein FAM98B,1,86046,48078.9,,103490,,86167.2
P50281,P50281,MMP14_HUMAN,MMP14,Matrix metalloproteinase-14,2,74939.1,,,129558,,117391
Q6ZNL6;Q6ZNL6-2,Q6ZNL6-2;Q6ZNL6,FGD5-2_HUMAN;FGD5_HUMAN,FGD5,"FYVE, RhoGEF and PH domain-containing protein 5",2,153333,,,56411.2,,111413
O43251;O43251-10;O43251-2;O43251-4;O43251-5;O43251-6;O43251-7;O43251-8;O43251-9;Q9NWB1;Q9NWB1-2;Q9NWB1-3;Q9NWB1-4;Q9NWB1-5,A0A087X2B1;A0A0G2JRA5;A0A0G2JRD1;A0A0G2JSB3;A0A286YEU2;B0QYV1;B0QYY4;B0QYY7;B7Z1U7;F8VR27;F8VZG9;F8VZY7;I3L1D4;J3KNW3;O43251-10;O43251-2;O43251-4;O43251-5;O43251-6;O43251-7;O43251-8;O43251-9;Q9NWB1-2;Q9NWB1-3;Q9NWB1-4;Q9NWB1-5;S4R3K7;S4R469;O43251;Q9NWB1,RFOX1-2_HUMAN;RFOX1-3_HUMAN;RFOX1-4_HUMAN;RFOX1-5_HUMAN;RFOX1_HUMAN;RFOX2-10_HUMAN;RFOX2-2_HUMAN;RFOX2-4_HUMAN;RFOX2-5_HUMAN;RFOX2-6_HUMAN;RFOX2-7_HUMAN;RFOX2-8_HUMAN;RFOX2-9_HUMAN;RFOX2_HUMAN,RBFOX1;RBFOX2,RNA binding protein fox-1 homolog 2,1,57132.7,,182613,,81129.2,
O60701;O60701-2,D6RHF4;E7ER83;E7ER95;E7ETF4;E7EV97;E9PBD2;O60701-2;O60701,UGDH-2_HUMAN;UGDH_HUMAN,UGDH,UDP-glucose 6-dehydrogenase,4,128920,57351,43663.3,,87578.1,
Q12872;Q12872-2,Q12872-2;Q12872,SFSWA-2_HUMAN;SFSWA_HUMAN,SFSWAP,"Splicing factor, suppressor of white-apricot homolog",6,92430.1,57410.9,,71471.5,95849.3,
P53621;P53621-2,A0A3B3IS84;A0A3B3ISC6;A0A3B3IT15;A0A3B3IU89;P53621-2;P53621,COPA-2_HUMAN;COPA_HUMAN,COPA,Coatomer subunit alpha,4,114670,135094,,66567.6,,
P15927;P15927-2;P15927-3,P15927-2;P15927-3;Q5TEJ7;P15927,RFA2-2_HUMAN;RFA2-3_HUMAN;RFA2_HUMAN,RPA2,Replication protein A 32 kDa subunit,1,40725.5,,,97123.7,103716,73882.6
Q9UNM6;Q9UNM6-2,A0A087WUL9;E9PL38;H0YD73;J3KNQ3;Q9UNM6-2;Q9UNM6,PSD13-2_HUMAN;PSD13_HUMAN,PSMD13,26S proteasome non-ATPase regulatory subunit 13,1,71913.1,53274,,64788.6,,123871
P51648;P51648-2,I3L1M4;J3QRD1;J3QS00;P51648-2;P51648,AL3A2-2_HUMAN;AL3A2_HUMAN,ALDH3A2,Fatty aldehyde dehydrogenase,2,123508,92096.4,,22598,,75601.9
P82933,P82933,RT09_HUMAN,MRPS9,"28S ribosomal protein S9, mitochondrial",2,94995.2,82108.2,,85437.1,,51056.6
Q15269,A0A0B4J2E5;Q15269,PWP2_HUMAN,PWP2,Periodic tryptophan protein 2 homolog,2,48851.9,67088.6,,84315.5,,112567
Q9UKX7;Q9UKX7-2,B0QY21;Q9UKX7-2;Q9UKX7,NUP50-2_HUMAN;NUP50_HUMAN,NUP50,Nuclear pore complex protein Nup50,1,88926,,,116365,106789,
Q8N474,Q8N474,SFRP1_HUMAN,SFRP1,Secreted frizzled-related protein 1,1,312063,,,,,
O60506-4,B7Z645;O60506-3;O60506-4;O60506-5;H0YAA0,HNRPQ-4_HUMAN,SYNCRIP,"Isoform of O60506, Isoform 4 of Heterogeneous nuclear ribonucleoprotein Q",1,60720.9,25727.3,47036.5,90290.9,51319.6,33894.1
Q9NZB8;Q9NZB8-2;Q9NZB8-7;Q9NZB8-8,Q9NZB8-2;Q9NZB8-7;Q9NZB8-8;Q9NZB8,MOCS1-2_HUMAN;MOCS1-7_HUMAN;MOCS1-8_HUMAN;MOCS1_HUMAN,MOCS1,Molybdenum cofactor biosynthesis protein 1,2,82675.4,41417.7,,75591.6,78053.8,30673.1
P13796,A0A0A0MSQ0;P13797-2;P13797-3;Q5TBN3;U3KQI3;P13796;P13797,PLSL_HUMAN,LCP1,Plastin-2,2,111149,114522,,,,82691.7
Q9UHA3,Q9UHA3,RLP24_HUMAN,RSL24D1,Probable ribosome biogenesis protein RLP24,2,68793.8,,,83132.2,,156013
Q9UHI8,Q9UHI8,ATS1_HUMAN,ADAMTS1,A disintegrin and metalloproteinase with thrombospondin motifs 1,1,46468.9,,,61486.2,126259,73045.5
Q16514;Q16514-2,Q16514-2;Q16514,TAF12-2_HUMAN;TAF12_HUMAN,TAF12,Transcription initiation factor TFIID subunit 12,1,80874.5,,,149360,,75975.3
Q6NXG1;Q6NXG1-2;Q6NXG1-3;Q6NXG1-4;Q6NXG1-5,A0A2U3TZN9;H0YBB3;H0YBR2;Q6NXG1-2;Q6NXG1-3;Q6NXG1-4;Q6NXG1-5;Q6NXG1,ESRP1-2_HUMAN;ESRP1-3_HUMAN;ESRP1-4_HUMAN;ESRP1-5_HUMAN;ESRP1_HUMAN,ESRP1,Epithelial splicing regulatory protein 1,4,96038,74709.7,81180.5,53137.8,,
Q9Y2S7,B4DEM9;Q9Y2S7,PDIP2_HUMAN,POLDIP2,Polymerase delta-interacting protein 2,2,165429,87461.7,,50225.9,,
Q9NVJ2;Q9NVJ2-2,Q9NVJ2-2;Q9NVJ2,ARL8B-2_HUMAN;ARL8B_HUMAN,ARL8B,ADP-ribosylation factor-like protein 8B,1,122167,91775.8,,,,88685.9
Q96EY7,Q96EY7,PTCD3_HUMAN,PTCD3,"Pentatricopeptide repeat domain-containing protein 3, mitochondrial",2,131049,99368.6,,70166.1,,
Q14103-2;Q14103-4,D6RBQ9;Q14103-2;Q14103-4,HNRPD-2_HUMAN;HNRPD-4_HUMAN,HNRNPD,"Isoform of Q14103, Isoform 2 of Heterogeneous nuclear ribonucleoprotein D0",1,159316,,54297,86957.3,,
Q66PJ3-2,A0A0C4DG62;F5GYV5;F5H7X4;F8WCT1;H7BZV4;Q66PJ3-2;Q66PJ3-3;Q66PJ3-4;Q66PJ3-7;Q66PJ3,AR6P4-2_HUMAN,ARL6IP4,"Isoform of Q66PJ3, Isoform 2 of ADP-ribosylation factor-like protein 6-interacting protein 4",4,91311.8,122812,,86327.1,,
P11586,A0A384N5Y3;A0A494C1T2;F5H2F4;V9GYY3;V9GZ78;P11586,C1TC_HUMAN,MTHFD1,"C-1-tetrahydrofolate synthase, cytoplasmic",7,71371.9,54386.1,67726.6,104756,,
Q9Y2R5,I3L0E3;Q9Y2R5,RT17_HUMAN,MRPS17,"28S ribosomal protein S17, mitochondrial",3,109276,52569.4,,64431.1,,71888.8
Q9NYU2;Q9NYU2-2,Q9NYU2-2;Q9NYU2,UGGG1-2_HUMAN;UGGG1_HUMAN,UGGT1,UDP-glucose:glycoprotein glucosyltransferase 1,1,67391.4,40235.1,53787.5,61555.9,,74450.6
Q96SQ9;Q96SQ9-2,M0R152;Q96SQ9-2;Q96SQ9,CP2S1-2_HUMAN;CP2S1_HUMAN,CYP2S1,Cytochrome P450 2S1,3,110196,51347.5,,66165.5,,66952.4
P52789,E9PB90;P52789,HXK2_HUMAN,HK2,Hexokinase-2,3,81765.7,66131.6,,99740.6,,46663.4
Q12796;Q12796-2,Q12796-2;Q12796,PNRC1-2_HUMAN;PNRC1_HUMAN,PNRC1,Proline-rich nuclear receptor coactivator 1,1,143413,,,106392,43378.1,
Q8N2M8;Q8N2M8-3;Q8N2M8-4,A0A0A0MQS2;F5H0Q6;Q8N2M8-3;Q8N2M8-4;Q8N2M8,CLASR-3_HUMAN;CLASR-4_HUMAN;CLASR_HUMAN,CLASRP,CLK4-associating serine/arginine rich protein,4,135977,118026,,,,38130.4
O43615,M0QXU7;M0R301;O43615,TIM44_HUMAN,TIMM44,Mitochondrial import inner membrane translocase subunit TIM44,2,60446.6,,,134871,96709.5,
Q14318;Q14318-2;Q14318-3,A0A0A0MTJ1;Q14318-2;Q14318-3;U3KQI1;Q14318,FKBP8-2_HUMAN;FKBP8-3_HUMAN;FKBP8_HUMAN,FKBP8,Peptidyl-prolyl cis-trans isomerase FKBP8,2,82769.7,86589.4,,59589.1,62094.6,
P37198,M0QXN5;P37198,NUP62_HUMAN,NUP62,Nuclear pore glycoprotein p62,1,,,,,141825,147683
Q6NZY4;Q6NZY4-2,F5GX80;F5H6J5;Q6NZY4-2;Q6NZY4,ZCHC8-2_HUMAN;ZCHC8_HUMAN,ZCCHC8,Zinc finger CCHC domain-containing protein 8,2,106535,121993,,60607.1,,
Q7Z417,Q7Z417,NUFP2_HUMAN,NUFIP2,Nuclear fragile X mental retardation-interacting protein 2,2,104752,112091,,70058.3,,
P48634;P48634-2;P48634-3,P48634-2;P48634-3;P48634,PRC2A-2_HUMAN;PRC2A-3_HUMAN;PRC2A_HUMAN,PRRC2A,Protein PRRC2A,2,59976.1,,,116677,72034.7,37429.8
P11388;P11388-2;P11388-3;P11388-4,P11388-2;P11388-3;P11388-4;P11388,TOP2A-2_HUMAN;TOP2A-3_HUMAN;TOP2A-4_HUMAN;TOP2A_HUMAN,TOP2A,DNA topoisomerase 2-alpha,5,58394.1,,,85771.5,,140574
Q16643;Q16643-2;Q16643-3,D6R9Q9;Q16643-2;Q16643-3;Q16643,DREB-2_HUMAN;DREB-3_HUMAN;DREB_HUMAN,DBN1,Drebrin,2,108669,,,173310,,
P33991,A0A3B3IS57;A0A3B3IT92;A0A3B3IU45;E5RG31;P33991,MCM4_HUMAN,MCM4,DNA replication licensing factor MCM4,2,110228,,,96104,,75434.1
Q13206,A0A3B3ISR7;E9PIF2;Q13206,DDX10_HUMAN,DDX10,Probable ATP-dependent RNA helicase DDX10,3,116076,,,163941,,
Q96BJ3;Q96BJ3-2,Q96BJ3-2;Q96BJ3,AIDA-2_HUMAN;AIDA_HUMAN,AIDA,"Axin interactor, dorsalization-associated protein",1,33122.8,34413.3,,89244.9,123178,
A0AV96;A0AV96-2,A0AV96-2;B7Z8Z7;D6R9D6;D6R9M7;D6RA49;D6RBP6;D6RBS9;D6RCT1;D6REZ6;D6RFL5;A0AV96,RBM47-2_HUMAN;RBM47_HUMAN,RBM47,RNA-binding protein 47,2,155248,,100499,23552.2,,
Q12840,A0A0G2JMZ6;J3KNA1;O60282-2;O60282;P33176;Q12840,KIF5A_HUMAN,KIF5A,Kinesin heavy chain isoform 5A,2,66132.5,74251.5,46671.9,59681.2,,31446.1
Q15046;Q15046-2,Q15046-2;Q15046,SYK-2_HUMAN;SYK_HUMAN,KARS,Lysine--tRNA ligase,3,98029.1,,,146242,,33055.1
P10415;P10415-2;Q07817;Q07817-3,P10415-2;Q07817-3;Q5QP56;Q5TE64;Q9H1R6;P10415;Q07817,B2CL1-3_HUMAN;B2CL1_HUMAN;BCL2-2_HUMAN;BCL2_HUMAN,BCL2;BCL2L1,Apoptosis regulator Bcl-2,1,,,,277133,,
Q96FQ6,Q96FQ6,S10AG_HUMAN,S100A16,Protein S100-A16,3,163413,113529,,,,
Q16527,F8VQR7;F8VW96;Q16527,CSRP2_HUMAN,CSRP2,Cysteine and glycine-rich protein 2,2,90587.1,69503.8,,116469,,
Q9NYV4;Q9NYV4-2;Q9NYV4-3,A0A087X209;A0A2R8Y4Z0;A0A2R8Y644;A0A2R8Y7W5;A0A2R8YD28;A0A2R8YF61;J3QSD7;Q14004-2;Q9BVE2;Q9NYV4-2;Q9NYV4-3;Q14004;Q9NYV4,CDK12-2_HUMAN;CDK12-3_HUMAN;CDK12_HUMAN,CDK12,Cyclin-dependent kinase 12,1,76520,83210.8,,86415.8,,27397.3
Q96QZ7;Q96QZ7-2;Q96QZ7-3;Q96QZ7-4;Q96QZ7-5;Q96QZ7-6;Q96QZ7-7,A0A087WT53;A0A087WXD2;H7C4U7;H7C535;H7C5T8;Q96QZ7-2;Q96QZ7-3;Q96QZ7-4;Q96QZ7-5;Q96QZ7-6;Q96QZ7-7;Q96QZ7,MAGI1-2_HUMAN;MAGI1-3_HUMAN;MAGI1-4_HUMAN;MAGI1-5_HUMAN;MAGI1-6_HUMAN;MAGI1-7_HUMAN;MAGI1_HUMAN,MAGI1,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1",1,41172.8,77068.5,,63109.2,92138.9,
P55786,E9PLK3;E9PP11;P55786-2;A6NEC2;P55786,PSA_HUMAN,NPEPPS,Puromycin-sensitive aminopeptidase,12,125958,81187.5,,,26662.7,39322.2
P01920,A0A0D5XQ77;A0A0U5Q247;A0A140T8Z5;A0A140T981;A0A140T9R6;A0A140T9Y4;A0A140T9Z9;A0A140TA15;A2AAZ0;E9PIB1;Q29967;Q5SU54;Q5Y7D6;P01920,DQB1_HUMAN,HLA-DQB1,"HLA class II histocompatibility antigen, DQ beta 1 chain",1,74804.3,33721.5,,61060.5,103407,
P62714;P67775;P67775-2,H0YBN9;P67775-2;P62714;P67775,PP2AA-2_HUMAN;PP2AA_HUMAN;PP2AB_HUMAN,PPP2CA;PPP2CB,Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform,2,104619,106498,,61434.4,,
O00303,O00303,EIF3F_HUMAN,EIF3F,Eukaryotic translation initiation factor 3 subunit F,2,76268.1,,,74933.4,75146.3,46201.4
Q9NR28;Q9NR28-2;Q9NR28-3,A0A024RBT2;Q9NR28-2;Q9NR28-3;Q9NR28,DBLOH-2_HUMAN;DBLOH-3_HUMAN;DBLOH_HUMAN,DIABLO,"Diablo homolog, mitochondrial",1,72910.6,19809.8,,93141.2,,84862.5
Q9Y3A4,Q9Y3A4,RRP7A_HUMAN,RRP7A,Ribosomal RNA-processing protein 7 homolog A,1,79929.3,93358.4,,,,97094.4
Q7L5L3;Q7L5L3-1,Q7L5L3-1;Q7L5L3,GDPD3-1_HUMAN;GDPD3_HUMAN,GDPD3,Lysophospholipase D GDPD3,3,158414,111407,,,,
O00469;O00469-2,E7ETU9;O00469-2;O00469-3;O00469,PLOD2-2_HUMAN;PLOD2_HUMAN,PLOD2,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",2,102660,71858.9,,94155.9,,
Q8NEJ9;Q8NEJ9-2,G3V4G1;H0YJ17;Q8NEJ9-2;Q8NEJ9,NGDN-2_HUMAN;NGDN_HUMAN,NGDN,Neuroguidin,2,49958,61401.5,,54449.8,,101637
Q93045;Q93045-2,E5RGX5;Q93045-2;Q93045,STMN2-2_HUMAN;STMN2_HUMAN,STMN2,Stathmin-2,1,72509,125351,,,68529.5,
Q4G0J3;Q4G0J3-3,D6R9Z6;H0YA82;Q4G0J3-2;Q4G0J3-3;Q4G0J3,LARP7-3_HUMAN;LARP7_HUMAN,LARP7,La-related protein 7,2,55023.2,60873,,45631.6,,101931
Q9NYK5;Q9NYK5-2,C9JG87;Q9NYK5-2;Q9NYK5,RM39-2_HUMAN;RM39_HUMAN,MRPL39,"39S ribosomal protein L39, mitochondrial",3,66299.8,61274.1,,64863.6,,70864.4
Q96EE3;Q96EE3-1,K7ELV2;K7ENI5;Q96EE3-1;Q96EE3,SEH1-1_HUMAN;SEH1_HUMAN,SEH1L,Nucleoporin SEH1,2,112249,,,80908.8,,69926.8
Q9H910;Q9H910-2;Q9H910-3,A6NGP5;H3BMT0;H3BMV3;H3BTV5;H3BU16;Q9H910-2;Q9H910-3;Q9H910,JUPI2-2_HUMAN;JUPI2-3_HUMAN;JUPI2_HUMAN,JPT2,Jupiter microtubule associated homolog 2,2,69283.9,71338.6,,35072.9,,87157
P78362;P78362-2,P78362-2;P78362,SRPK2-2_HUMAN;SRPK2_HUMAN,SRPK2,SRSF protein kinase 2,2,47751.2,41369.5,60086.1,71496.7,,41775.9
P11441,Q5HY81;P11441,UBL4A_HUMAN,UBL4A,Ubiquitin-like protein 4A,3,69325.9,,,,126992,63036
P60903,P60903,S10AA_HUMAN,S100A10,Protein S100-A10,1,258617,,,,,
P61221,P61221,ABCE1_HUMAN,ABCE1,ATP-binding cassette sub-family E member 1,1,111972,,,82581.5,,61122.9
Q16891;Q16891-2;Q16891-3;Q16891-4,B9A067;C9J406;H7C463;Q16891-2;Q16891-3;Q16891-4;Q16891,MIC60-2_HUMAN;MIC60-3_HUMAN;MIC60-4_HUMAN;MIC60_HUMAN,IMMT,MICOS complex subunit MIC60,2,23107.6,,,59614.2,78389.6,94457.1
Q9BRT6,Q9BRT6,LLPH_HUMAN,LLPH,Protein LLP homolog,2,67148.4,,,46954.1,76850.5,64296.9
P49792,A0A1W2PNU4;A0A286YES2;F8VYC4;F8W705;J3KNE0;J3KQ37;Q99666-2;A6NKT7;O14715;P0DJD0;P0DJD1;P49792;Q7Z3J3;Q99666,RBP2_HUMAN,RANBP2,E3 SUMO-protein ligase RanBP2,2,49059.9,63830,,64099.9,77268,
Q99614,Q99614,TTC1_HUMAN,TTC1,Tetratricopeptide repeat protein 1,2,57105.6,37136.4,,85771.3,,73989.6
Q9BSJ8;Q9BSJ8-2,Q9BSJ8-2;Q9BSJ8,ESYT1-2_HUMAN;ESYT1_HUMAN,ESYT1,Extended synaptotagmin-1,3,29383.1,,,,,224139
Q9UBQ5;Q9UBQ5-2,K7ERF1;K7ES31;Q9UBQ5-2;Q9UBQ5,EIF3K-2_HUMAN;EIF3K_HUMAN,EIF3K,Eukaryotic translation initiation factor 3 subunit K,1,69721.1,52368.9,,62063.6,,68213.3
P62875,P62875,RPAB5_HUMAN,POLR2L,"DNA-directed RNA polymerases I, II, and III subunit RPABC5",1,83796.1,,,87420.4,,81035.6
P54727,Q5W0S4;Q5W0S5;P54727,RD23B_HUMAN,RAD23B,UV excision repair protein RAD23 homolog B,1,54564.8,,,,,197594
O14773;O14773-2,A0A2R8Y7I4;A0A2R8Y7U1;A0A2R8YD72;A0A2R8YGD1;O14773-2;O14773,TPP1-2_HUMAN;TPP1_HUMAN,TPP1,Tripeptidyl-peptidase 1,4,115463,,,,,135383
P25490,A0A494C032;H0YJU4;H0YJV7;P25490;Q96MM3,TYY1_HUMAN,YY1,Transcriptional repressor protein YY1,1,56297.9,,,56454,66623.7,69083.9
O00231;O00231-2,O00231-2;O00231,PSD11-2_HUMAN;PSD11_HUMAN,PSMD11,26S proteasome non-ATPase regulatory subunit 11,2,169176,,,,77989.9,
P34896-2,P34896-2,GLYC-2_HUMAN,SHMT1,"Isoform of P34896, Isoform 2 of Serine hydroxymethyltransferase, cytosolic",1,194681,51960.9,,,,
P14406,D6RGV5;D6RIE3;H0UI06;P14406,CX7A2_HUMAN,COX7A2,"Cytochrome c oxidase subunit 7A2, mitochondrial",2,165107,,,,,81379.8
Q9Y6A5,A0A494BZT8;A0A494C117;H0Y8F2;Q9Y6A5,TACC3_HUMAN,TACC3,Transforming acidic coiled-coil-containing protein 3,3,108571,,,,49775.6,83915.1
A0A1W2PQD4,A0A1W2PQD4,A0A1W2PQD4_HUMAN,HNRNPU,"Isoform of Q00839, Heterogeneous nuclear ribonucleoprotein U (Fragment)",1,54500.3,63274.7,,44049.3,,79831.2
O75128-2;O75128-7,A0A3B3IU00;J3KR05;O75128-2;O75128-7,COBL-2_HUMAN;COBL-7_HUMAN,COBL,"Isoform of O75128, Isoform 2 of Protein cordon-bleu",1,119421,70471.6,50214.7,,,
Q00688,Q00688,FKBP3_HUMAN,FKBP3,Peptidyl-prolyl cis-trans isomerase FKBP3,2,79364.6,,,35635.5,124384,
Q15637-6,H7C0N4;H7C561;Q15637-6,SF01-6_HUMAN,SF1,"Isoform of Q15637, Isoform 6 of Splicing factor 1",1,144123,64175,,30948.7,,
Q9Y2Y0;Q9Y2Y0-2,H3BU49;Q9Y2Y0-2;Q9Y2Y0,AR2BP-2_HUMAN;AR2BP_HUMAN,ARL2BP,ADP-ribosylation factor-like protein 2-binding protein,1,115497,,,,,123037
O95865,A0A140T971;H0Y7N1;Q5SRR8;Q5SSV3;O95865,DDAH2_HUMAN,DDAH2,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2",3,152748,,83026.4,,,
Q9NUL3;Q9NUL3-2;Q9NUL3-3;Q9NUL3-6;Q9NUL3-7;Q9NUL3-8,A0A0A0MTC4;A0A0A0MTC6;A0A0A0MTD1;E5RFK1;E5RJN7;E7EPX0;E7EVI1;E7EVJ4;E9PH62;F8VPI7;Q9NUL3-2;Q9NUL3-3;Q9NUL3-6;Q9NUL3-7;Q9NUL3-8;Q9NUL3,STAU2-2_HUMAN;STAU2-3_HUMAN;STAU2-6_HUMAN;STAU2-7_HUMAN;STAU2-8_HUMAN;STAU2_HUMAN,STAU2,Double-stranded RNA-binding protein Staufen homolog 2,5,104789,,,71911,,58690.3
P16422,B5MCA4;C9JKY3;P16422,EPCAM_HUMAN,EPCAM,Epithelial cell adhesion molecule,1,92419.9,,,52751.7,,89905
