Protein Group,Protein Ids,Protein Names,Genes,First Protein Description,Peptides,Prime1_1,Prime1_2,Prime1_3,Prime2_1,Prime2_2,Prime2_3,Naive1_1,Naive1_2,Naive1_3,Naive2_1,Naive2_2,Naive2_3
Q9UBB9,H0Y4U8;Q9UBB9,TFP11_HUMAN,TFIP11,Tuftelin-interacting protein 11,27,1658160,1560610,1563820,2005530,2003720,1940250,1440500,1467780,1445470,1606970,1529800,1533590
Q9UBC1;Q9UBC1-2;Q9UBC1-3,A0A0A0MRT5;A0A140TA04;Q5STV6;Q9UBC1-2;Q9UBC1-3;Q9UBC1,IKBL1-2_HUMAN;IKBL1-3_HUMAN;IKBL1_HUMAN,NFKBIL1,NF-kappa-B inhibitor-like protein 1,1,,,,,,,,,,,,115028
Q9UBC2;Q9UBC2-2;Q9UBC2-3,M0R165;M0R2S2;Q9UBC2-2;Q9UBC2-3;Q9UBC2-4;Q9UBC2,EP15R-2_HUMAN;EP15R-3_HUMAN;EP15R_HUMAN,EPS15L1,Epidermal growth factor receptor substrate 15-like 1,20,1977760,1734530,1753260,1900760,1847540,1953140,1800240,2046570,2100440,1811470,1900070,1750950
Q9UBC3;Q9UBC3-2;Q9UBC3-6,Q9UBC3-2;Q9UBC3-3;Q9UBC3-4;Q9UBC3-5;Q9UBC3-6;Q9UBC3-7;Q9UBC3-8;Q9UBC3,DNM3B-2_HUMAN;DNM3B-6_HUMAN;DNM3B_HUMAN,DNMT3B,DNA (cytosine-5)-methyltransferase 3B,44,37331600,37217400,36092900,29573600,28397800,27644500,43965500,60462700,61686800,56081200,54149700,55805600
Q9UBD5;Q9UBD5-2,Q9UBD5-2;Q9UBD5,ORC3-2_HUMAN;ORC3_HUMAN,ORC3,Origin recognition complex subunit 3,8,365477,408995,343384,362719,359386,316146,262675,348612,384573,309463,372118,397742
Q9UBE0,B3KNJ4;M0QX65;M0QZS6;M0R054;Q9UBE0-2;Q9UBE0-3;Q9UBE0,SAE1_HUMAN,SAE1,SUMO-activating enzyme subunit 1,21,2107720,2136480,2025370,2245190,2193530,2261890,1241840,1867640,1867080,1495170,1516420,1486440
Q9UBF2,Q9UBF2-2;Q9UBF2,COPG2_HUMAN,COPG2,Coatomer subunit gamma-2,17,2365070,2537720,2373590,2362650,2465190,2268770,1507650,1721630,1768770,1661990,1643340,1589600
Q9UBF6,Q9UBF6,RBX2_HUMAN,RNF7,RING-box protein 2,2,557225,446288,456112,507624,473444,328810,370671,397469,444351,382349,495018,385504
Q9UBF8;Q9UBF8-2;Q9UBF8-3,A0A0B4J1S8;F8W860;Q9UBF8-2;Q9UBF8-3;Q9UBF8,PI4KB-2_HUMAN;PI4KB-3_HUMAN;PI4KB_HUMAN,PI4KB,Phosphatidylinositol 4-kinase beta,1,,,,247285,,,252397,,,,,
Q9UBG0,Q9UBG0,MRC2_HUMAN,MRC2,C-type mannose receptor 2,1,,,,449878,352596,175241,210529,277884,273821,237687,150432,224875
Q9UBH6;Q9UBH6-2,Q9UBH6-2;Q9UBH6,XPR1-2_HUMAN;XPR1_HUMAN,XPR1,Xenotropic and polytropic retrovirus receptor 1,2,101014,260819,229836,164654,,,,,,,,
Q9UBI6,Q9UBI6,GBG12_HUMAN,GNG12,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12,4,2695550,2866680,2819970,2427960,2599690,2321930,1921500,2007810,1946860,1583080,1824960,1552590
Q9UBK8;Q9UBK8-1,Q9UBK8-1;Q9UBK8,MTRR-1_HUMAN;MTRR_HUMAN,MTRR,Methionine synthase reductase,3,633967,589092,612394,529830,561444,781975,,416948,314387,464789,436437,417485
Q9UBL3;Q9UBL3-3,F5H8F7;Q9UBL3-2;Q9UBL3-3;Q9UBL3,ASH2L-3_HUMAN;ASH2L_HUMAN,ASH2L,Set1/Ash2 histone methyltransferase complex subunit ASH2,9,1184590,990873,973845,1220470,1200920,1173010,1344510,1326070,1274500,1430540,1328600,1512070
Q9UBM7,Q9UBM7,DHCR7_HUMAN,DHCR7,7-dehydrocholesterol reductase,8,10475100,10678800,10864900,10039800,9966580,10084000,9053050,9365400,9645940,9012850,9379270,8718330
Q9UBP0;Q9UBP0-3,A0A2R8Y481;A0A2R8Y4I8;A0A2R8Y5N9;A0A2R8Y7K2;A0A2R8YCL5;A0A2R8YFW8;A0A2R8YGN6;A0A2U3TZR0;Q9UBP0-2;Q9UBP0-3;Q9UBP0-4;Q9UBP0,SPAST-3_HUMAN;SPAST_HUMAN,SPAST,Spastin,7,404200,490779,438864,557426,494242,452172,479728,423367,422760,296170,494346,361966
Q9UBP6,Q9UBP6,TRMB_HUMAN,METTL1,tRNA (guanine-N(7)-)-methyltransferase,4,1187520,1260010,1042610,1307460,1098070,1303150,1353780,975044,1062650,1007850,909369,1051210
Q9UBP9,H0Y6R1;Q9UBP9-3;Q9UBP9-4;Q9UBP9,GULP1_HUMAN,GULP1,PTB domain-containing engulfment adapter protein 1,4,1024420,876611,973765,685208,776215,757977,768737,806900,844826,700333,736146,672141
Q9UBQ0,F8VXU5;Q9UBQ0-2;Q9UBQ0,VPS29_HUMAN,VPS29,Vacuolar protein sorting-associated protein 29,8,2303760,2569870,2634450,3284520,3328360,3091280,2389220,3149090,3043760,3857390,3777790,3945230
Q9UBQ5,K7ERF1;K7ES31;Q9UBQ5-2;Q9UBQ5,EIF3K_HUMAN,EIF3K,Eukaryotic translation initiation factor 3 subunit K,7,5683360,6438610,5997160,7420090,7471680,6572930,4914830,7588990,7595170,5496260,5409850,5564560
Q9UBQ6,Q9UBQ6,EXTL2_HUMAN,EXTL2,Exostosin-like 2,5,1922330,1500670,1369070,1651860,2098120,2011070,2701620,2321390,2314540,2593690,2362000,2363770
Q9UBQ7,U3KQ56;Q9UBQ7,GRHPR_HUMAN,GRHPR,Glyoxylate reductase/hydroxypyruvate reductase,13,1628640,1927550,1814560,2300600,2251220,2141720,1802190,1716960,1720700,1464240,1623670,1511120
Q9UBR2,Q9UBR2,CATZ_HUMAN,CTSZ,Cathepsin Z,5,1579740,1486530,1638230,1857490,1744700,1837020,1264580,1174450,1270750,1257130,1314520,1268840
Q9UBS4,Q9UBS4,DJB11_HUMAN,DNAJB11,DnaJ homolog subfamily B member 11,18,10377300,10421800,10125200,13117100,13163400,13970100,11844700,15159800,14925300,15416800,16191300,15822300
Q9UBS9;Q9UBS9-2,B4DYM4;Q9UBS9-2;Q9UBS9,SUCO-2_HUMAN;SUCO_HUMAN,SUCO,SUN domain-containing ossification factor,2,531974,,524140,478506,528881,498665,549600,652124,588427,594315,543920,433267
Q9UBT2,K7EPL2;K7ESK7;Q9UBT2-2;Q9UBT2,SAE2_HUMAN,UBA2,SUMO-activating enzyme subunit 2,20,2651620,2519780,2365620,2653640,2700680,2793750,1807730,2109780,2101540,1689580,1836240,1790290
Q9UBT7;Q9UBT7-2;Q9UBT7-3,Q5JTQ6;Q9UBT7-2;Q9UBT7-3;Q9UBT7,CTNL1-2_HUMAN;CTNL1-3_HUMAN;CTNL1_HUMAN,CTNNAL1,Alpha-catulin,3,826326,247470,191703,523657,297318,382242,396181,403755,249281,374678,889567,590088
Q9UBU6,Q9UBU6,FA8A1_HUMAN,FAM8A1,Protein FAM8A1,3,535654,584612,430752,417118,494562,429409,353892,484412,563885,546303,803435,567265
Q9UBU8-2,B3KTM8;H0YLJ3;H0YMJ0;H0YNE0;Q9UBU8-2;Q9UBU8,MO4L1-2_HUMAN,MORF4L1,"Isoform of Q9UBU8, Isoform 2 of Mortality factor 4-like protein 1",8,878771,989943,995815,1374260,1272030,1286190,980279,1222850,1240000,1331390,1394380,1341510
Q9UBU9,E9PIN3;E9PLA7;E9PMV7;Q9UBU9-2;Q9UBU9,NXF1_HUMAN,NXF1,Nuclear RNA export factor 1,29,4948820,5073180,5423760,5076670,5332510,5088350,6741220,8100540,8009950,6105210,6013720,5917750
Q9UBV2,G3V3B3;Q9UBV2-2;Q9UBV2,SE1L1_HUMAN,SEL1L,Protein sel-1 homolog 1,8,862541,754651,866739,745718,741169,768865,841667,1052930,1005200,886494,846181,840548
Q9UBV8,Q9UBV8,PEF1_HUMAN,PEF1,Peflin,4,1609710,2117970,1921720,1768220,1770660,1801100,1035080,1796800,1770960,1261030,1426100,1241980
Q9UBW7,Q9UBW7,ZMYM2_HUMAN,ZMYM2,Zinc finger MYM-type protein 2,28,1509760,1595710,1636660,1786320,1818140,1828940,1487670,1720800,1747460,2196980,2077480,2133350
Q9UBW8,Q9UBW8,CSN7A_HUMAN,COPS7A,COP9 signalosome complex subunit 7a,6,950308,802203,845086,851277,865212,744065,907488,827834,845277,558804,735524,619981
Q9UBX3;Q9UBX3-2,F6RGN5;I3L1E8;Q9UBX3-2;B4DLN1;Q9UBX3,DIC-2_HUMAN;DIC_HUMAN,SLC25A10,Mitochondrial dicarboxylate carrier,12,1527640,1545310,1583480,1294100,1310620,1268110,1540130,1448520,1470160,1264540,1393480,1283500
Q9UBY8,A0A0J9YWD2;A0A0J9YX19;A0A0J9YXY6;A0A0J9YYK8;A0A1B0GU79;A0A1B0GUR8;A0A1B0GVR1;A0A1B0GTJ5;Q9UBY8,CLN8_HUMAN,CLN8,Protein CLN8,2,841244,926380,983758,907905,859900,909666,1561620,1111760,908729,986320,1409230,1049350
Q9UDR5,F8WAH1;Q9UDR5,AASS_HUMAN,AASS,"Alpha-aminoadipic semialdehyde synthase, mitochondrial",49,10912400,10577500,10677900,9838020,9983790,9611650,15569600,18097500,18587700,18217300,17564600,17945100
Q9UDW1,Q9UDW1-2;Q9UDW1,QCR9_HUMAN,UQCR10,Cytochrome b-c1 complex subunit 9,3,993613,1461400,1721510,1367920,1394390,1375230,1161520,1896010,1935730,1790200,1902540,1978490
Q9UDX5,B5MC22;F8WEN7;Q9UDX5-2;Q9UDX5,MTFP1_HUMAN,MTFP1,Mitochondrial fission process protein 1,8,2872180,3044090,2872530,3014820,2715040,2813170,2859430,2344910,2506110,2370480,2481700,2681430
Q9UDY2;Q9UDY2-3;Q9UDY2-7,A0A1B0GTW1;A0A2R8YDH4;A0A3B3IRI3;A0A3B3IRV6;A0A3B3IS03;A0A3B3ISF1;A0A3B3ISZ5;A0A3B3IT83;A0A3B3ITE1;A0A3B3IU51;Q9UDY2-2;Q9UDY2-3;Q9UDY2-4;Q9UDY2-5;Q9UDY2-6;Q9UDY2-7;Q9UDY2,ZO2-3_HUMAN;ZO2-7_HUMAN;ZO2_HUMAN,TJP2,Tight junction protein ZO-2,57,6201000,6255190,6304660,5054760,4961340,5164700,4178050,4845900,4888550,4322780,4192390,4225210
Q9UDY8;Q9UDY8-2,A0A3B3IS32;Q9UDY8-2;Q9UDY8,MALT1-2_HUMAN;MALT1_HUMAN,MALT1,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,3,662082,329897,267164,257401,296206,254013,167225,235780,214749,,163297,141750
Q9UEE9,Q9UEE9-2;Q9UEE9,CFDP1_HUMAN,CFDP1,Craniofacial development protein 1,4,1052380,1276530,1149040,952163,1016450,1129260,905784,963708,886725,823335,741892,634510
Q9UER7;Q9UER7-2;Q9UER7-3;Q9UER7-4;Q9UER7-5,Q9UER7-2;Q9UER7-3;Q9UER7-4;Q9UER7-5;Q9UER7,DAXX-2_HUMAN;DAXX-3_HUMAN;DAXX-4_HUMAN;DAXX-5_HUMAN;DAXX_HUMAN,DAXX,Death domain-associated protein 6,2,,1110220,1164900,872014,822373,790659,,688666,659874,780798,718741,887985
Q9UET6;Q9UET6-2,B7Z4K4;Q9UET6-2;Q9UET6,TRM7-2_HUMAN;TRM7_HUMAN,FTSJ1,Putative tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase,1,279710,294184,167715,205362,194412,217079,132528,191487,242318,172769,187836,123337
Q9UEU0,Q9UEU0-2;H0YJ10;Q9UEU0,VTI1B_HUMAN,VTI1B,Vesicle transport through interaction with t-SNAREs homolog 1B,8,1551030,1767870,1675560,1556590,1515500,1575050,1581750,1759050,1788460,1559040,1463740,1576050
Q9UEW8;Q9UEW8-2,Q9UEW8-2;Q9UEW8,STK39-2_HUMAN;STK39_HUMAN,STK39,STE20/SPS1-related proline-alanine-rich protein kinase,2,229545,283207,300686,121418,211301,,,,114239,,,
Q9UEY8;Q9UEY8-2,Q9UEY8-2;Q9UEY8,ADDG-2_HUMAN;ADDG_HUMAN,ADD3,Gamma-adducin,12,1363530,1299890,1377850,1465440,1422340,1467450,1078220,1299770,1368870,1395420,1354930,1376490
Q9UFC0,F8WDB4;H7C5S6;Q9UFC0,LRWD1_HUMAN,LRWD1,Leucine-rich repeat and WD repeat-containing protein 1,9,708217,691279,626915,831973,946649,878840,600436,912869,890336,997485,1001780,1053540
Q9UFG5,A0A087WUU5;E7EP72;K7EK56;K7ELZ1;K7EQW1;K7ER12;Q9UFG5-2;Q9UFG5,CS025_HUMAN,C19orf25,UPF0449 protein C19orf25,4,1484620,1319770,1215230,1067790,1216770,1214220,790574,1361550,1290690,1162710,1052260,1171930
Q9UFH2,K7EK91;Q9UFH2,DYH17_HUMAN,DNAH17,"Dynein heavy chain 17, axonemal",1,251115,193665,300781,,,,,,,,,
Q9UFN0,Q9UFN0,NPS3A_HUMAN,NIPSNAP3A,Protein NipSnap homolog 3A,5,437239,768111,794213,633332,588460,536532,851867,576678,571195,483703,575070,469902
Q9UFW8,C9JUJ0;Q9UFW8,CGBP1_HUMAN,CGGBP1,CGG triplet repeat-binding protein 1,2,14448800,12864700,14128000,16930700,15505500,16293000,12447200,17912700,14774900,13002500,16834200,14671800
Q9UG56;Q9UG56-2,Q9UG56-2;Q9UG56,PISD-2_HUMAN;PISD_HUMAN,PISD,"Phosphatidylserine decarboxylase proenzyme, mitochondrial",9,792191,832437,892298,731485,721551,716990,1051560,965477,989036,899042,887464,868331
Q9UG63;Q9UG63-2,Q9UG63-2;Q9UG63,ABCF2-2_HUMAN;ABCF2_HUMAN,ABCF2,ATP-binding cassette sub-family F member 2,16,1924690,1756150,1833870,1747020,1721370,1648340,1392720,1737390,1626810,1304110,1499530,1220360
Q9UGC7,Q9UGC7-2;Q9UGC7-4;Q9UGC7,RF1ML_HUMAN,MTRF1L,"Peptide chain release factor 1-like, mitochondrial",3,437791,461342,255575,430202,526754,257587,315755,650054,606551,529123,548048,582000
Q9UGI8;Q9UGI8-2,Q9UGI8-2;Q9UGI8,TES-2_HUMAN;TES_HUMAN,TES,Testin,9,1203530,1286260,1213060,844639,829859,885432,657895,872037,784676,646921,644586,644780
Q9UGL1;Q9UGL1-2,A0A3B3IS40;A0A3B3ISE6;A0A3B3IT25;A0A3B3ITA8;A0A3B3ITE7;A0A3B3ITJ7;B3KV94;Q9UGL1-2;Q9UGL1,KDM5B-2_HUMAN;KDM5B_HUMAN,KDM5B,Lysine-specific demethylase 5B,2,212848,149095,178791,272625,330459,269814,422529,363974,354732,329127,326576,344217
Q9UGM6,Q9UGM6,SYWM_HUMAN,WARS2,"Tryptophan--tRNA ligase, mitochondrial",4,630311,524900,542669,546399,593348,657380,381418,590804,552621,625972,630889,589766
Q9UGN5;Q9UGN5-2,G3V167;Q9UGN5-2;Q9UGN5,PARP2-2_HUMAN;PARP2_HUMAN,PARP2,Poly [ADP-ribose] polymerase 2,2,,,,349525,322195,142301,,208653,101199,210230,283409,243192
Q9UGP8,Q9UGP8,SEC63_HUMAN,SEC63,Translocation protein SEC63 homolog,28,3264010,2862520,2780550,2434090,2483690,2500630,2635810,3115990,3108200,2851930,2904270,2979690
Q9UGQ3;Q9UGQ3-2,Q9UGQ3-2;Q9UGQ3,GTR6-2_HUMAN;GTR6_HUMAN,SLC2A6,"Solute carrier family 2, facilitated glucose transporter member 6",1,,483287,,,403597,496457,181227,775346,761467,716999,802502,483621
Q9UGR2,Q9UGR2,Z3H7B_HUMAN,ZC3H7B,Zinc finger CCCH domain-containing protein 7B,3,634120,524434,639612,578368,503209,460508,611146,571244,653823,492303,507446,441547
Q9UGT4,Q9UGT4,SUSD2_HUMAN,SUSD2,Sushi domain-containing protein 2,3,402289,276000,359348,337053,,392255,344378,698636,703607,652423,723624,635897
Q9UGU0;Q9UGU0-2,Q9UGU0-2;Q9UGU0,TCF20-2_HUMAN;TCF20_HUMAN,TCF20,Transcription factor 20,10,1715070,1968150,1750340,1699360,1701840,1660430,1533020,1755390,1873980,1809820,1653530,1780570
Q9UGV2;Q9UGV2-2;Q9UGV2-3,F8WBF9;Q5TH30;Q9UGV2-2;Q9UGV2-3;Q9UGV2,NDRG3-2_HUMAN;NDRG3-3_HUMAN;NDRG3_HUMAN,NDRG3,Protein NDRG3,4,768249,729279,824510,767057,788468,784062,807038,751643,728644,746174,784953,698135
Q9UGY1,Q9UGY1;V9GYY5,NOL12_HUMAN,NOL12,Nucleolar protein 12,2,663016,713117,534796,782423,679562,844275,408741,433278,362778,517200,616314,517479
Q9UH17,B0QYD3;Q6ICH2;Q9UH17-2;Q9UH17-3;Q96AK3;Q9UH17,ABC3B_HUMAN,APOBEC3B,DNA dC->dU-editing enzyme APOBEC-3B,3,1072730,1326330,1141450,1464550,1626720,1656100,1771180,658061,1703870,1572920,,1665770
Q9UH62,Q9UH62,ARMX3_HUMAN,ARMCX3,Armadillo repeat-containing X-linked protein 3,7,695957,677896,627600,649314,624322,683859,485986,744364,732095,666607,730256,696176
Q9UH65,E7EMB1;Q9UH65,SWP70_HUMAN,SWAP70,Switch-associated protein 70,6,877119,769191,835765,726903,816799,686488,627230,891684,868795,580413,866793,703719
Q9UH99;Q9UH99-2;Q9UH99-3,Q9UH99-2;Q9UH99-3;Q9UH99,SUN2-2_HUMAN;SUN2-3_HUMAN;SUN2_HUMAN,SUN2,SUN domain-containing protein 2,2,190273,204396,250252,200295,289542,,257216,404713,261657,380699,452703,276118
Q9UHA3,Q9UHA3,RLP24_HUMAN,RSL24D1,Probable ribosome biogenesis protein RLP24,4,2224510,2344930,2140160,2159440,2133630,2123450,1943570,2181990,2327380,2512270,2495930,2592990
Q9UHA4,Q9UHA4,LTOR3_HUMAN,LAMTOR3,Ragulator complex protein LAMTOR3,4,5947430,6569790,6441820,7495290,7935140,8297860,10559700,8969800,8782750,8672410,8843680,8758380
Q9UHB6,F8VQE1;F8VRN8;Q9UHB6-2;Q9UHB6-4;Q9UHB6-5;Q9UHB6,LIMA1_HUMAN,LIMA1,LIM domain and actin-binding protein 1,42,14670100,14864600,14950500,3008880,2853140,3016530,4094540,4580650,4618840,4085910,3895780,4098770
Q9UHB6-5,Q9UHB6-4;Q9UHB6-5,LIMA1-5_HUMAN,LIMA1,"Isoform of Q9UHB6, Isoform 5 of LIM domain and actin-binding protein 1",1,706462,583192,596502,,91091.2,129118,,185221,193872,166685,87600.5,162624
Q9UHB7,Q9UHB7,AFF4_HUMAN,AFF4,AF4/FMR2 family member 4,4,327715,302862,312227,358128,343027,175837,170306,251145,359558,276014,252872,318496
Q9UHB9,Q9UHB9-2;Q9UHB9-4;Q9UHB9,SRP68_HUMAN,SRP68,Signal recognition particle subunit SRP68,25,2082720,2152550,2099000,1949330,2103880,1961900,1943600,1861050,1776270,1651700,1636520,1558780
Q9UHD1,E9PIZ4;E9PPQ5;E9PSD5;Q9UHD1,CHRD1_HUMAN,CHORDC1,Cysteine and histidine-rich domain-containing protein 1,13,3095830,3557020,3629700,4055610,4023700,3409680,1994820,3231680,3171470,2724340,2716940,2631890
Q9UHD2,A0A494C045;A0A494C0A8;A0A494C0R4;A0A494C0X2;A0A494C148;A0A494C167;A0A494C1M6;Q9UHD2,TBK1_HUMAN,TBK1,Serine/threonine-protein kinase TBK1,2,294929,274080,258515,193633,,,301523,,194943,,237795,184267
Q9UHD8;Q9UHD8-2;Q9UHD8-5;Q9UHD8-7,K7EIE4;K7EK18;K7EL40;K7EQD7;K7ER52;Q9UHD8-2;Q9UHD8-3;Q9UHD8-4;Q9UHD8-5;Q9UHD8-7;Q9UHD8-8;Q9UHD8-9;Q9UHD8,SEPT9-2_HUMAN;SEPT9-5_HUMAN;SEPT9-7_HUMAN;SEPT9_HUMAN,SEPT9,Septin-9,26,5726370,5555570,5374320,5605180,5623920,5883860,4116280,4047960,4094590,3544850,3627400,3596540
Q9UHD9,Q9UHD9,UBQL2_HUMAN,UBQLN2,Ubiquilin-2,4,1348870,1299610,1249390,1240310,1909560,1424880,1374900,1436320,1447910,1128060,1156950,1259680
Q9UHG3,C9JGT6;C9JM55;C9K055;F8W8W4;Q9UHG3-2;Q9UHG3,PCYOX_HUMAN,PCYOX1,Prenylcysteine oxidase 1,15,2138840,2342020,2150580,2406140,2332570,2322650,2471260,2649410,2585150,2563170,2664290,2686530
Q9UHI5,E9PLV9;Q9UHI5,LAT2_HUMAN,SLC7A8,Large neutral amino acids transporter small subunit 2,9,2363810,2428660,2329750,1972130,1993650,1883040,1866400,2364150,2297030,2134460,2116070,2094520
Q9UHI6,E9PJ60;Q9UHI6,DDX20_HUMAN,DDX20,Probable ATP-dependent RNA helicase DDX20,11,1987670,2024090,1873320,2123790,2104130,2197170,2435190,2193000,2130260,1963170,2025870,2107370
Q9UHJ6,A0A0B4J2A0;Q9UHJ6,SHPK_HUMAN,SHPK,Sedoheptulokinase,7,840067,891397,795598,844107,882139,829151,707209,830062,695009,665082,695909,592779
Q9UHJ9;Q9UHJ9-2;Q9UHJ9-3;Q9UHJ9-5,A0A0A0MS75;A8MYS5;A8MZF5;E9PKT0;Q9UHJ9-2;Q9UHJ9-3;Q9UHJ9-5;Q9UHJ9,PGAP2-2_HUMAN;PGAP2-3_HUMAN;PGAP2-5_HUMAN;PGAP2_HUMAN,PGAP2,Post-GPI attachment to proteins factor 2,1,304547,343668,326306,267771,286765,315323,368968,311130,372461,314786,261460,317062
Q9UHK0,Q9UHK0,NUFP1_HUMAN,NUFIP1,Nuclear fragile X mental retardation-interacting protein 1,2,,,,114441,193298,116751,,100820,72480.6,199906,117639,180758
Q9UHK6;Q9UHK6-5,D6RB81;Q9UHK6-5;Q9UHK6,AMACR-5_HUMAN;AMACR_HUMAN,AMACR,Alpha-methylacyl-CoA racemase,2,491026,581447,396372,562546,452437,495099,278158,366290,361693,369666,410463,396875
Q9UHN1,Q9UHN1,DPOG2_HUMAN,POLG2,"DNA polymerase subunit gamma-2, mitochondrial",3,363369,454035,438075,437551,492289,429325,503928,296548,409376,407002,557714,323308
Q9UHN6,Q9UHN6-2;Q9UHN6,CEIP2_HUMAN,CEMIP2,Cell surface hyaluronidase,20,987691,933361,924000,789056,765787,755773,1807310,1532480,1564400,1335420,1438380,1302740
Q9UHQ4,C9IYK6;C9JGJ9;C9JP06;C9JTE9;F8WB99;F8WDG1;Q9UHQ4-2;Q9UHQ4,BAP29_HUMAN,BCAP29,B-cell receptor-associated protein 29,2,659955,661744,360336,387579,488906,432531,288946,539172,449256,452552,387504,464660
Q9UHQ9,H7C0R7;Q9UHQ9,NB5R1_HUMAN,CYB5R1,NADH-cytochrome b5 reductase 1,5,935840,1057120,1035490,989366,1050330,1079120,1329930,1243140,1181800,1210800,1239260,1224080
Q9UHR4,Q9UHR4,BI2L1_HUMAN,BAIAP2L1,Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1,5,456503,509317,460081,451957,411303,443467,206364,285285,330831,342083,267337,317261
Q9UHR5;Q9UHR5-2,J3QQJ0;Q9UHR5-2;Q9UHR5,S30BP-2_HUMAN;S30BP_HUMAN,SAP30BP,SAP30-binding protein,12,2274180,2351180,2286740,3725800,3735340,3670040,2109680,2920570,3041230,4203370,4328560,4318930
Q9UHR6,Q9UHR6,ZNHI2_HUMAN,ZNHIT2,Zinc finger HIT domain-containing protein 2,6,738244,704224,739217,576367,644930,778612,438991,655107,642802,507625,589716,525856
Q9UHV9,Q9UHV9,PFD2_HUMAN,PFDN2,Prefoldin subunit 2,6,3491370,3539020,3788860,3792440,3757140,3879150,2800730,3040090,3052460,2570450,2705890,2723000
Q9UHX1-2,A0A0J9YVP6;A0A0J9YVR6;A0A0J9YWM1;A0A0J9YXJ8;A0A0J9YXX5;A0A0J9YYL3;E9PL19;E9PMU7;E9PN18;E9PQ56;H0YEM1;Q9UHX1-2;Q9UHX1-3;Q9UHX1-4;Q9UHX1-5;Q9UHX1-6;Q9UHX1,PUF60-2_HUMAN,PUF60,"Isoform of Q9UHX1, Isoform 2 of Poly(U)-binding-splicing factor PUF60",23,3347490,3401770,3258180,4377270,4466970,4336900,3803220,3955600,3888930,4796170,4672830,4746470
Q9UHY1,F8W6G1;Q9UHY1,NRBP_HUMAN,NRBP1,Nuclear receptor-binding protein,8,943104,957255,904477,957668,914562,912359,583394,698573,714022,522362,678571,567975
Q9UHY7,A0A0C4DGY8;D6RA00;Q9UHY7-2;Q9UHY7,ENOPH_HUMAN,ENOPH1,Enolase-phosphatase E1,5,1249620,1779760,1477190,1789880,1891560,1847890,1694910,1415460,1394620,1117210,1079070,1136420
Q9UI09,F8VRD8;Q9UI09,NDUAC_HUMAN,NDUFA12,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12,6,2054600,1875050,1979310,1603310,1557300,1672980,2050320,1993650,2061350,2158260,2080850,1986940
Q9UI10;Q9UI10-2;Q9UI10-3,A0A087WTA5;E7ERK9;Q9UI10-2;Q9UI10-3;Q9UI10,EI2BD-2_HUMAN;EI2BD-3_HUMAN;EI2BD_HUMAN,EIF2B4,Translation initiation factor eIF-2B subunit delta,10,868974,839828,751957,828643,755067,829874,600075,669278,657612,655701,680098,626464
Q9UI12;Q9UI12-2,G3V126;Q9UI12-2;Q9UI12,VATH-2_HUMAN;VATH_HUMAN,ATP6V1H,V-type proton ATPase subunit H,11,1717040,1695300,1533640,1326620,1234130,1187600,1232850,1622140,1637200,1445300,1470230,1440060
Q9UI14,M0QXH1;M0R1H9;M0R3D4;Q9UI14,PRAF1_HUMAN,RABAC1,Prenylated Rab acceptor protein 1,4,1522630,1534590,1431700,1340030,1325740,1327550,2178610,2266620,2262220,2564090,2825170,2585990
Q9UI26;Q9UI26-2,D6RCN7;D6RJB1;F8WDV0;Q9UI26-2;Q9UI26,IPO11-2_HUMAN;IPO11_HUMAN,IPO11,Importin-11,5,400260,340929,280266,358841,304113,294098,464268,312816,316454,246233,353734,259995
Q9UI30,F5GX77;F5GYQ2;Q9UI30,TR112_HUMAN,TRMT112,Multifunctional methyltransferase subunit TRM112-like protein,5,5075230,4985490,4676330,4891970,4870360,4098080,2168970,4445710,4220580,3846790,4041150,3836190
Q9UI33;Q9UI33-3,Q9UI33-2;Q9UI33-3;Q9UI33,SCNBA-3_HUMAN;SCNBA_HUMAN,SCN11A,Sodium channel protein type 11 subunit alpha,2,411155,439403,447056,1440910,1170060,368450,429629,1132860,1361540,1154110,1027570,1217750
Q9UI42;Q9UI42-2,B7Z5J4;Q9UI42-2;Q9UI42,CBPA4-2_HUMAN;CBPA4_HUMAN,CPA4,Carboxypeptidase A4,9,,,,470389,,,,,,,2496450,
Q9UI43,A0A3B3ITW8;Q9UI43,MRM2_HUMAN,MRM2,"rRNA methyltransferase 2, mitochondrial",3,453913,508448,557327,543118,540500,584091,569265,429211,458944,512759,657823,566294
Q9UI95,B1AK44;Q9UI95,MD2L2_HUMAN,MAD2L2,Mitotic spindle assembly checkpoint protein MAD2B,3,1195240,1237990,1471890,1732000,1735120,1726120,1167120,1272260,1342490,1872230,1810510,1849250
Q9UIA9,E7ESC6;Q9UIA9,XPO7_HUMAN,XPO7,Exportin-7,21,1648190,1724260,1709510,1472670,1477290,1477330,1218000,1515140,1490940,1073200,1217270,1093960
